X,y,Z
-10327,13929,9837
-13266,-3777,12155
-11630,4272,10527
-12867,-1247,7 11720
-11509,7462,9410
-12691,-5130,12614
-10626,16159,8518
-11966,-1015,6 9435
-11285,1410,10234
-12696,-6983,12599
-12158,9532,9531
-10732,5072,9845
-11746,-653,12763
-13198,-1670,14149
-15184,-6880,12398
-8646,1546 9,970
-14351,3412,12656
-11557,2493,11762
-13350,1008,11518
-10927,-7772,9312
-11491,1075,11113
-14858,6227,14875
-8584,5730 8,778
-11011,-3085,13267
-14818,-3608,15114
-10687,-5990,12496
-12598,-723,12024
-9660,3559 1,1300
-14848,-894,13764
-10663,-1129,8369
-9313,-4926,6106
-14467, 507 1,4175
-11177,3768,10944
-11767, 276 7,938
-7749,2572 9,301
-15761,-242,14991
-11212,-1583,12283
-9062,1907 8,262
-13380,-1141,13764
-12969,-773,14546
-13867,-1656,12488
-8329,-931 8,571
-13138,1516,12560
-14603,5442,12333
-7881,-1888,5029
-11471,4180,9819
-13433,-6388,13664
-12934,1891,10755
-9934,-2679,8089
-12147,-2469,14651
-16429, 540 1,8293
-10651,-1550,10939
-10330,1721,13420
-13083,2225,13812
-15682,-5686,15109
-8743,1921 7,735
-10347,-2989,8091
-13003,4660,13949
-12620,-2457,11638
-9004,3408 9,516
-12046,-1897,12125
-13680,4157,13013
-12409, 470 1,301
-9219,4445 9,248
-13010,1048,13008
-13419,-9061,13399
-10166,-2581,10597
-13268,-4087,13101
-10921,7227,10607
-13804,-1131,11756
-10864,-1652,12000
-11687,-268,10384
-12536,-8302,11402
-9536,7716 9,457
-13693,-2039,12973
-9269,6870 9,797
-12402,-7182,9402
-11835,1562,10177
-10791,-599,9620
-11463,7076,7768
-9545,1016 9,538
-15529, 790 1,2352
-9369,-3007,9641
-12237,-1925,11669
-12608,-2671,12962
-12346,2721,10800
-13204,-466,8690
-7782,3061 7,386
-15751,-2890,15967
-9741,470 97,66
-11695,-2233,12031
-13181,1972,11631
-11402,-6795,13541
-14460,4772,11915
-8879,-5208,10539
-13723,12831,12182
-11956,-8462,12874
-9945,5174 1,664
-13773,-1263,1 14720
-10405,9325,10290
-13623,-9718,12041
-9344,7649 1,584
-14920,-5307,14295
-11714,-3487,11866
-9694,2519 8,422
-12891,1496,12758
-11115,4632,10456
-11978,3175,9395
-8992,-5509,9859
-13796,-2335,14245
-13164,-503,13860
-7513,9495 5,869
-13560,-3079,14871
-13843,6720,13402
-10436,-6225,7152
-12123,1278,10630
-11485,3281,10720
-14397,-8419,16003
-9197,6429 7,266
-11512,-1660,2 14267
-14929,8587,13743
-11210,-6064,10300
-10802,13305,7066
-12153,-9757,13644
-14418,8559,12193
-9298,-10939,8971
-9666,12256,8946
-15377,-9496,15922
-10440,7144,9818
-12903,-6073,9839
-9473,3353 1,1940
-17190,-5783,18525
-11107,-3585,9103
-10656,-4023,11988
-15214,3179,14231
-11809,-3880,13024
-10920,1446,8218
-10310,-1337,4 14362
-14116,7744,15289
-13513,-1184,9 14139
-7017,11364,7221
-15505,-1163,6 18041
-12065,7615,13115
-12182,-1103,8 10865
-9388,10664,11284
-13627,-1141,6 17908
-13280,-5880,15138
-7998,-3268,10099
-14617,-2573,15124
-11987,2131,15200
-12070,8044,9749
-9430,-7108,11296
-12286,7271,13969
-15290,-1165,0 16732
-5641,11257,4471
-13818,-8760,15867
-13958,7768,15435
-12447,-7962,11163
-9987,15457,7233
-10837,-9554,12597
-16705,3004,16937
-7412,710 68,70
-11726,-5483,11440
-12602,4672,15763
-13410,-6358,12794
-8549,16592,5148
-10875,-9568,12476
-15180,7469,15442
-11171,-8214,9272
-10861,8665,10336
-11259,-4084,13478
-14892,5714,14057
-11883,-971,11131
-9271,7133 7,477
-15569,-8597,16402
-13865,9748,11554
-9505,-10214,10463
-13359,9571,12484
-13226,-1248,8 15334
-13782,11529,10700
-10166,-5209,10296
-10171,12675,9128
-15365,-2135,0 14323
-8837,12342,11221
-13380,-2256,6 14224
-9554,12634,12941
-14911,-1054,16214
-10175, 44 11,849
-11941,-4556,13427
-13500,-1713,12463
-10016,-1263,12621
-13402,1824,12530
-8043,-2098,9889
-12281,-6829,11514
-14704,-1869,13383
-8854,6952 1,457
-13843,-2897,13486
-10172,13801,11154
-14095,-1382,6 14055
-8673,-124 8,564
-12759,-1349,4 15502
-15221,11317,15722
-8956,-875 9,592
-12876,5751,13156
-10735,-2850,12062
-14739,-9606,14870
-10203,4040,9405
-10752,-1201,0 14298
-13084,20201,14931
-12762,-1792,8 12882
-11133,8131,10983
-12599,-1333,7 14399
-13022,12767,14821
-11640,-4022,11975
-8928,4948 1,1557
-14820,-6729,15978
-10984,-4000,10465
-11189,-1299,11736
-12433,9088,11461
-11931,-2352,14285
-12405,8384,10851
-6866,-13350,7546
-15966,6706,15504
-12387,1182,12876
-9011,12107,6244
-12438,-6573,14225
-14264,-249,12975
-12817,-1218,6 12205
-7515,23894,4425
-12247,-3364,13191
-14352,8284,13981
-9675,-17279,9606
-10867, 76 94,62
-13220,3392,12908
-12933,12418,10023
-9481,4501 7,504
-10358,-4785,11213
-15864,-1024,9 13535
-8726,-572 7,523
-13357,3130,12471
-8372,9267 8,825
-15729,-9957,11647
-9911,438 71,80
-10828,-8506,11003
-14050,14791,11527
-10776,2182,10320
-11146, 996 1,5
-12471,-9490,11552
-12020, 723 1,1649
-13191,3299,10764
-8848,10542,10578
-14971, 499 1,3715
-10214,-7069,9907
-13537,-8509,13776
-12863,10357,10956
-10890,8003,12581
-12185,7367,10178
-10513,-1206,0 11522
-14767,-3437,14104
-9666,-4157,10347
-12038,6132,10398
-12052,2552,12173
-10677,1194,11885
-14494,-9487,12516
-8225,-4351,8417
-14048,9737,13648
-10888,-834,10433
-10812,5423,9370
-13039,-1029,9 10852
-11147, 565 1,977
-15654,-3515,15779
-9661,10876,7688
-11812,-4056,13452
-13214,7497,12641
-10701,-6986,9327
-12156,7019,10163
-9736,-2622,10129
-12824,4393,10292
-11855,-6061,10885
-10091,1786,9746
-11694,-6874,10612
-11434,19639,10353
-12782,-5267,11658
-9550,9055 9,77
-13215,-1015,0 12197
-13424,-4536,12412
-9637,-2633,9846
-13325,5884,11733
-10425,4155,11191
-13757,5064,11605
-10929, 705 6,216
-9769,-5143,9202
-16556,3626,13093
-9335,-7984,10593
-14549,3612,11949
-7654,4047 9,517
-14779,-3052,16979
-12291,3616,10869
-8304,-7547,9562
-13271,3160,12606
-12810,-5276,13779
-12761,2631,11553
-8129,-401 5,785
-13097,2542,13880
-15403,-1376,13812
-8993,1681 7,683
-11385,-553,9030
-12410,1762,13537
-14996,-2421,13670
-9848,6311 6,371
-7570,3181 7,897
-17221,2560,16978
-9320,-4281,8621
-10663, 16 78,49
-11728,1679,11604
-13199,3170,13456
-14097,-550,10149
-6218,-113 5,772
-16307,-733,14845
-11777,3830,12098
-9748,3939 6,915
-10441,-5199,10441
-14417,2620,13024
-13720,-6609,11500
-7289,7385 6,570
-12122,6092,10101
-13253,2230,11199
-10653,3239,6989
-10789, 21 79,98
-12145,-700,12690
-15150,2600,12806
-8680,-5 100,18
-13306, -20 1,3515
-12409, 433 1,2596
-12667,-5035,10299
-10570,6943,9862
-11934,-1827,11309
-12689,1168,11416
-11514,-4113,10024
-11164,-1933,12210
-12704,-3886,12189
-10117,3026,9257
-12120,-4678,11490
-14286,5451,11599
-10876,-6616,11480
-11643,6088,7643
-11488,-1133,1 14290
-15048, 797 1,5260
-7422,-11862,7226
-13678,1759,12651
-11928,-2366,13561
-11954,2184,14403
-12108,5766,8519
-8423,-4494,10679
-15326,-2893,14369
-8459,-363 9,29
-10317,8209,8016
-11225,-2369,9166
-11286,7273,10189
-15846,-1546,5 15335
-7429,10733,6128
-16240,-7551,15503
-11880,12447,13011
-11769,-2537,11405
-10802,5057,7047
-9961,2925 1,1002
-14913,-7526,13062
-8315,9414 9,689
-11507,1632,9561
-11346,-5025,12821
-14784,-1126,13592
-13142,-3728,12898
-7881,12957,7363
-15958,-7078,15509
-11931,9421,12515
-12872,-1109,3 12674
-9978,802 76,99
-12338,-9323,13788
-16184,18130,15836
-6942,3920 7,201
-11644,1884,11899
-13640,-2803,13274
-13826,-6064,15340
-8478,12339,7792
-11459,-1674,9 13761
-14943,8678,18217
-11970,-1677,4 14911
-9353,9696 8,239
-10852,3633,12636
-15659,4517,14875
-10080, 674 9,272
-9359,-5867,10343
-12284,-3868,18811
-14320,2197,13647
-9321,415 85,71
-10012,6382,9823
-14245,-8739,14188
-15357,6896,15305
-9594,-11252,10832
-9544,11260,13419
-16537,-5554,19196
-10388,6365,9694
-12147,-1183,9 11298
-10916,15318,9355
-12988,-4550,14962
-14041,10532,12232
-7324,-11024,13169
-15088,4317,13727
-11261,-9452,14259
-12395,16694,11212
-12156,-6293,11299
-12219,13773,11950
-14357,-1807,6 14926
-9327,3508 1,1436
-13714, 88 12,62
-9475,8429 1,774
-12580,3309,11070
-11643,4433,11281
-11355,-1036,7 11207
-13759,4683,10733
-8648,-5213,11290
-15430,10713,13677
-9989,-10310,11714
-10394,8753,7363
-13890,-4874,14372
-12037,16133,12572
-13207,-7500,12045
-8450,2398 8,125
-15536,-1313,2 14681
-11231,-3597,12362
-9947,6928 5,944
-11711,6114,12543
-11859,-3346,11197
-13794,-1548,5 12310
-9737,3786 7,635
-12720,-7969,11276
-11097,18776,10596
-10782,-5676,7568
-11510,-3046,10846
-13184,-1505,9 12855
-12700,-3396,12328
-11957, 817 1,1436
-11516,10505,12333
-14077,-2698,12313
-10067, 815 9,810
-12107,-5583,10710
-10869,-6345,12293
-12405,2642,12493
-12919,-1019,13615
-10701,-8018,11754
-12986,4431,14023
-10770, 225 9,229
-12360,5430,12372
-11209,6761,9854
-10052,-5207,11091
-14953,-2060,16906
-12347,-7280,14006
-12269,1307,12913
-12434,3557,13321
-11842,8514,15158
-13877,-1280,0 13427
-7421,11751,8979
-15774,-1277,7 15472
-8403,15731,10013
-14115,4857,10827
-8579,-9549,10905
-13544,-5140,14723
-14371,-4994,15529
-6729,16713,6960
-14463,-634,15661
-11927,8376,12235
-10067,-1661,1 9193
-12245,-135,10976
-11946,-7933,13514
-14018,5971,13369
-7365,748 65,15
-13454,-7324,13063
-12598,4048,11872
-11296,-4546,8485
-10907,9072,8229
-11799,-2598,14227
-16047,5070,17027
-7016,-2025,6389
-13504,-7495,13529
-13887,8276,14337
-11031,-3862,9458
-11963,7547,9441
-9597,-6245,9748
-17085,-971,16228
-8505,6919 8,218
-9852,-4697,8648
-14682,3501,15841
-12483,-1718,11907
-11520, 259 1,222
-9433,-3630,9998
-15924,4373,16893
-12394,-3322,11359
-7538,2207 7,240
-13338,-5330,14807
-14733,1567,14311
-11346,1917,10005
-9937,1418 8,789
-11962,4345,13156
-16116,-1370,8 17270
-7881,7086 8,859
-12407,-1355,5 13634
-10464,21798,12902
-14681,-1621,7 13698
-8034,15330,5664
-11112,-1851,8 11287
-13309,13283,14301
-10817,-8283,9522
-9346,14228,9748
-12522,-1436,5 10860
-12215,8363,13617
-14822,-547,11114
-7641,-2328,10805
-17085,2227,15931
-10017,-1515,12085
-13388,3190,12728
-10958, 88 10,357
-10146,4572,9708
-14483,-1226,10312
-8558,971 10,948
-12645,-3734,10286
-9611,4953 8,349
-13099,9478,11380
-10482,-6147,10124
-12147,-387,11830
-16187,-2649,14003
-10304,-943,11747
-14096,10430,11978
-10605,-1032,9953
-13210,5758,11329
-14131,-9835,11377
-6751,8452 5,365
-15050,-286,12714
-10581,8026,10352
-11824,-4455,9789
-11546,-8470,10595
-10541,-764,13531
-15412,-1167,0 16101
-8395,20468,10145
-13268,-4840,15491
-11534,-758,12488
-14134,-1482,8 9693
-11527,-1967,10801
-9508,731 89,81
-14905,3562,14974
-9639,-9904,10606
-12934,-9943,12926
-12744,-9041,12793
-11054,10029,10569
-11859,5836,8304
-9642,11054,11176
-13703,-4601,14264
-9920,-11075,9925
-10071,2827,10944
-14868,5903,12171
-8635,2148 8,600
-14098,4857,9933
-10744,-1517,7 11026
-13537,10855,12747
-11840,-3161,11998
-8909,20677,7986
-15796,-1236,4 18132
-11492,-5194,10677
-13519,-1498,4 13309
-10504,4057,10857
-11635,11892,12577
-13028,5635,11592
-7533,-5870,7690
-13825,-1638,12287
-12148,-1548,3 11736
-12306,22504,10993
-10751,-6759,9994
-10764,10813,11716
-18801,-1498,5 16946
-6229,1984 6,462
-14030,-1483,12617
-10674,15558,12608
-13274,-1475,8 13362
-11093,1553,10804
-11527,-1904,3 12851
-14823,20772,15136
-8739,9347 8,250
-10798,11640,10676
-12913,-1277,1 12078
-12726,-9741,13456
-11296,3543,10933
-10248,3830,10012
-12530,14094,14973
-12415,-1217,3 11989
-12097,-1544,3 10858
-13683,-2864,12278
-10646,1353,11911
-14068,16265,12711
-9143,-1617,8657
-13866,-1360,0 12986
-11732,-2457,11608
-10252, 822 9,10
-11858,6386,12133
-10361,3112,9404
-13037,-5048,12912
-13386,-8554,11527
-10229,10789,9447
-12466, 824 9,404
-9441,22371,9124
-15072,-1018,2 14645
-9440,-2752,7672
-12053,-1517,4 11666
-14193,16841,14173
-10855, 791 1,1909
-12638,6182,9659
-11473,-1558,5 14585
-15227,-6658,14079
-10610, 297 1,2045
-11428,20198,9928
-11663,-3560,10225
-11657,2952,11693
-13119,-1684,6 10061
-8708,1521 7,215
-14941,7203,13948
-8640,16066,8703
-10376,-2339,11349
-14282,-8348,13905
-10797,-1094,8 12971
-14221,-142,13601
-9924,11816,10476
-12188,7432,12880
-14433,-6351,12448
-9895,-8016,13049
-13329,-3607,11112
-9611,30 914,3
-13569,11414,10776
-10992,-1214,3 8677
-12245,-2012,12325
-11320,-7615,11020
-11645,-5065,14734
-14616,13195,15978
-7951,-2182,8795
-14761,1428,13119
-11381,-5802,10844
-11796, 312 1,1173
-10888,7931,8372
-8593,-2256,8060
-16278,-7941,16914
-11405,-6475,9926
-9171,-3874,10126
-15529,-5439,14401
-12150,10660,13834
-14557, 358 1,3917
-5705,3631 5,596
-16057,-5076,18052
-10587,-144,11945
-10255,-3759,8057
-11584,5003,12577
-11641,-4398,12194
-13968,2155,12092
-7508,-3886,6722
-12321, 995 1,3157
-14181,7476,15002
-10295,13063,7252
-10504,-2264,9660
-10527,8780,7689
-14531,-1556,3 14739
-12532,6846,9129
-8538,-6632,10507
-15832,8856,16187
-11011,-4092,10422
-13325,3400,11087
-10434,-1960,9635
-12539,11502,11445
-13419,-628,10924
-7692,5820 8,990
-14425,-5880,14578
-10891, -28 1,316
-11893,-4205,11948
-12339,7425,9995
-9535,-629 1,456
-14827,6775,9728
-8280,-6500,8165
-13457, 237 1,2664
-11030,3035,10423
-11795,1773,13963
-13041,1807,12131
-8107,-2064,8415
-16437,-316,10181
-7648,6793 7,146
-15203,-2457,12972
-8257,6539 7,901
-13166,-1253,4 15750
-13885,-2362,14545
-10535,-1174,3 10540
-13408,17482,7293
-10477, 875 8,398
-11112,20677,8183
-12519,-8799,10045
-9476,1815 9,434
-14036,-1280,7 13455
-10566,4026,13284
-14597,-1908,14745
-10008,3997,9213
-14776,-6874,14864
-13048,9637,11087
-9559,-11621,11455
-14696,7248,12887
-8841,-3442,10885
-14391,2521,14724
-9989,-10694,10194
-9955,-6386,10750
-15262,-6102,14262
-6258,10412,8100
-13722,-7931,13924
-10686,-5644,12158
-14674,-7738,14682
-11437,-2396,12435
-10525,4358,9160
-13055,4954,13558
-10565,-3283,9565
-11472, 358 1,957
-10083,-4993,6906
-12286,-2482,13171
-13276,10302,9664
-8980,-8803,10611
-13107,8516,9705
-12207,-5060,12694
-10766,15236,9514
-12078,8274,11029
-8346,6773 9,596
-17576,-1187,6 18835
-9999,4521 9,77
-14503,-2174,14036
-11690,4932,9416
-10383,1010,11501
-17458,2464,15022
-7750,-6234,8304
-14431,-1982,13337
-11459, 46 11,662
-12152,9977,12833
-12697,1238,11157
-7608,-2805,7656
-17918,-7594,15696
-8114,7796 9,407
-11269,-685,8207
-12002,6144,9236
-12367,-1051,2 14174
-14538,-1007,12432
-8282,1064 9,137
-13456,11156,15273
-11988,-1607,13277
-11555,6984,9292
-11946,-9501,9900
-10118,8542,12191
-15318,4504,15158
-6858,5692 7,235
-12139,-1072,5 13062
-14100, 956 1,4015
-11583,-9169,10911
-12859,14135,9852
-8376,4676 8,845
-62595,231 16,709
-12508,5910,10686
-7474,2765 6,271
-12822,8584,12503
-11597,-3979,11535
-13549,-1002,5 14279
-11064,3227,9516
-10777,4456,11720
-16625,13926,12750
-7111,261 64,13
-14365,-3156,11742
-11166,-1762,10329
-11995,3182,14004
-11836,15819,9521
-9574,-10773,10117
-17040,6305,12398
-8892,-12581,8864
-13855,14512,11254
-9582,2347 1,2619
-13799,8881,14214
-12590,-1195,5 13327
-10815,-5050,10597
-15166,-3333,14342
-11270, 316 1,1923
-11817,8951,9970
-11574,-4296,11235
-12165,-5126,12818
-12218,3360,9714
-8347,-8415,6594
-12274,14683,9988
-13356,-1092,1 12683
-9484,-952 1,21
-13593,-9691,14251
-8731,6846 1,1811
-16433,-4098,17717
-8055,5412 9,226
-11909,-459,8897
-13860,-5936,12557
-10075,8603,8542
-11753,-1947,9503
-7382,22282,7439
-15543,-1640,5 12671
-9995,-193 7,578
-10911,-4426,8912
-13525,11579,11528
-10661,7685,8659
-14617,9143,11605
-7745,-12842,8566
-15038,-8097,14515
-12446,-3293,10119
-8077,4588 6,466
-14267,6477,12747
-11015,10374,10749
-14744,-1546,3 12638
-8321,7648 8,66
-14224,-1355,3 15467
-14200,18122,11129
-8625,-9143,7349
-12556,9735,8939
-11930,-1162,8 13098
-13332,14722,10813
-7776,-6240,6003
-11623,5894,13305
-16538,-6530,14386
-9459,-3562,11231
-11716,3405,10622
-11284,6033,11252
-14376,6066,13616
-11468,-323,7687
-5176,-10471,7902
-18467,10637,16616
-9539,-10779,11843
-9087,18607,4333
-11619,-1108,6 10314
-15120,10281,15664
-13637,-1977,5 9029
-5529,11484,3890
-15377,-1962,13754
-12320,1799,17709
-10399,6717,4951
-9572,-15283,8687
-13763,7930,11977
-15161,-3280,9824
-6637,16771,4572
-11217,-8913,9144
-16042,1306,19446
-11159,-4475,10556
-11896,-2904,9856
-10265,7476,11706
-17577,1596,14861
-9683,3277 7,380
-8514,-2540,7984
-15461,-1111,15381
-9247,6532 6,856
-11498,-4008,8653
-9771,-3094,10228
-16977,-1687,6 14996
-10227,14940,8733
-10255,-7989,10233
-14147,20682,12992
-10784,-5036,11648
-13414,-2117,12205
-11119,-1057,4 13014
-12933,6862,10916
-12553,6703,8926
-9453,3658 8,788
-15070,-6625,12577
-9135,-4382,8859
-15075,-4745,14306
-9067,4876 1,2756
-13589,4753,12246
-12940,7069,9564
-7113,-10756,7322
-15327,-664,14565
-9068,-4394,10653
-10595,10719,9628
-11687,-7121,13882
-10489,1441,9949
-15843,-1090,7 12595
-7752,14264,5355
-14230,2499,12221
-10326,15229,8886
-11665,-5056,9990
-12220,-7468,10712
-10150,-1056,8 10782
-14336,10361,11928
-10260,18828,11193
-12051,-2755,11022
-11701,-5862,12028
-12450,-1222,6 12901
-15333,6772,12084
-6794,3145 7,516
-15519,8171,13047
-12579,-6445,13289
-11427,-8056,10219
-11984,-7825,9492
-10219,2539,11904
-15779,8938,12859
-8653,-5244,10835
-12195,-3450,11609
-12658,-2505,14526
-11770,-1161,12253
-10981,9504,9900
-10838,-8846,15375
-14160,6656,14732
-11685,-1433,6 12982
-8561,13755,7431
-12584, -66 1,1780
-10782,5902,12223
-13257,-4572,9844
-8102,-8882,8247
-13618,3785,13272
-13712,6759,13849
-9418,4357 8,847
-13161,-2505,11600
-12811,-6438,12741
-14234,3701,11728
-9441,1162 1,1742
-10092,10560,7905
-16775,-5392,17542
-7406,-338 7,505
-13304,-1600,8 12505
-12772,4087,12913
-12304,-388,12762
-13249,11183,10933
-9061,3446 1,1131
-16457,-2769,14612
-9161,356 10,33
-11087,2813,10245
-12602,-1112,12591
-11368,-6211,12022
-14423, 345 1,2908
-8458,-6163,10977
-15623,7348,16157
-10207, 409 9,704
-10559,6896,10145
-13292,1597,9945
-10404,-3366,12417
-14706,-2890,10781
-7242,-3170,10266
-15149,-1886,15008
-14196,2367,14794
-8886,-286 8,615
-14935,6595,12771
-9718,-2867,12336
-14511,2247,10598
-8176,-6077,9839
-12845,-1161,14139
-14001,-8270,15168
-8956,-926 9,870
-15059,-2960,13715
-9351,7982 1,3233
-15440,-2381,12561
-9843,1215 1,624
-10672,-6309,10071
-14845,4733,12381
-7230,1165 8,213
-13627,-2714,11257
-9046,-1814,9648
-14668,2280,11558
-13172,-1798,11220
-8499,2133 8,199
-17206,-3108,16088
-7966,7245 9,580
-13616,-7449,11319
-9868,11336,8909
-12811,-7432,11646
-12371,6275,9681
-8616,-14536,11295
-16210,7462,13680
-9304,-5652,9238
-12122,10425,10195
-11869,-323,9111
-11471,5465,10763
-13405,-1967,10518
-9936,-3555,11236
-14036,-5849,15592
-13871,-2614,14168
-10459,1660,10927
-14177,-5221,13165
-8931,2506 1,1230
-15941,-438,15832
-10060,4946,8964
-10402,-3770,10144
-15159,-5162,13830
-7861,-4511,10667
-15949,-4223,13765
-6800,793 89,0
-14372,5189,13694
-12636,3949,12623
-8371,-1072,8058
-16291,-2700,13483
-7063,-3678,9342
-16691,4264,16884
-8099,2991 8,474
-13423,-5139,12442
-13096, 713 1,2577
-9862,-6948,10486
-14144,10167,11550
-7639,1600 9,941
-15728,1435,15198
-9841,-5404,8964
-8603,-2832,8832
-15189,2573,12707
-8963,1024 1,1137
-15061,7108,12051
-8616,-10979,9803
-16300,-4312,16652
-13933,-607,13346
-6606,8041 7,304
-15329,5055,11749
-9808,-4851,13341
-14229,-3867,12501
-11267,-1249,7 14651
-10000,7300,11201
-15877, 836 1,5259
-6414,12894,9014
-14845,-1284,6 12503
-10030,2447,11755
-14131,-5042,12985
-10194,8738,10721
-9644,-1436,15041
-17101, 351 1,3911
-5995,-5647,9591
-15886,-4379,13419
-10566,5133,13704
-12097,6574,10351
-10662,10085,9000
-8895,-7207,9675
-17254,-6625,16324
-8290,-61 61,58
-12238,6094,10738
-13412,7555,14807
-9512,3143 1,1156
-15561,-3134,11949
-8259,2948 1,661
-15914,-4623,15829
-10788,9516,10602
-10410,-5089,11600
-13945,8380,12264
-8556,-13365,12765
-15409,16509,9638
-9036,-13793,10144
-13628,17424,14619
-10752,-1129,6 11312
-10842,3970,15174
-15554,-3322,13190
-8430,-3564,12127
-15552,11871,13933
-9097,-9150,9137
-12980,2812,13995
-15431,1644,11682
-6919,-7232,11291
-16869,10349,14973
-8749,-8171,10707
-14436,11930,10982
-10049,-9900,9332
-10098,3756,11472
-17461,-3715,15675
-6044,5732 9,457
-14693,3362,13238
-9162,490 11,821
-14250,-7643,13129
-12077,-341,9293
-9640,-2424,10133
-15518,10032,13223
-9896,-3889,10950
-12517,5774,10474
-10424,-1235,5 10461
-11007,1860,12297
-16878,-1216,13702
-5837,6489 7,573
-15803,3630,12899
-9739,-5664,9338
-12254,-4182,12302
-13181, 185 1,2184
-7138,-1792,10237
-17772,7219,15075
-8223,-5802,10404
-13741,2237,9934
-11538,-6098,10961
-11068,13304,8685
-14354,-4394,11711
-7370,7804 8,452
-14356,-2460,10193
-11164,-7437,14021
-11909,4788,8815
-13037,-1234,11955
-8909,22774,11387
-16459,-1629,6 12740
-7546,7990 8,982
-13507,-1046,7 10763
-12337,6051,11156
-10744,3278,11099
-13980, 348 1,85
-6854,-4702,8362
-18704,-5854,16049
-6785,50 587,6
-11697,3027,11852
-14471,6161,13614
-10557,-8564,13060
-15581,-8222,13162
-7898,-2286,9634
-16496, 986 1,4929
-10643,11537,9497
-8916,123 86,61
-13902,-3108,10961
-9578,-8872,13131
-14300,5487,10543
-7759,-24 10,340
-15673,8440,15304
-13806,-9991,11589
-7582,-1007,9376
-16723,-1938,14726
-9406,2223 1,4163
-14019,11379,11536
-9269,-6769,9016
-11394,-4968,13653
-15065,-5374,11409
-4618,-4441,5950
-15635,8183,12324
-11437,-8027,15915
-13532,7170,12337
-11206,-9157,10196
-9480,7205 1,2039
-18364,-2745,16152
-5355,6005 8,127
-15145,-7521,12857
-10237,4894,12181
-11408,-4639,6911
-11396,4661,8788
-8432,2217 9,219
-17646,-4200,14837
-8701,-2187,12863
-13913,-5380,10412
-12943,7384,15029
-10032,9535,8026
-14157,-2700,11895
-7922,4648 7,949
-17517,-1505,9 15737
-10170,10392,10477
-8706,-5451,8451
-14214,9794,11213
-9816,-4100,11001
-16441,2937,11713
-7869,-2120,7834
-13292,-2409,13264
-13894,4850,13114
-9533,-8412,12498
-16108,5871,12477
-6586,-8376,10844
-16328,5091,13131
-9808,-2205,11350
-10215,5156,8561
-14834,-4324,10877
-8122,7063 7,529
-15263,2122,10947
-6994,1218 9,814
-14129,-4840,13511
-12567,-7442,11858
-8317,6698 8,844
-17769,-3583,14087
-7765,11146,11073
-16589,3135,13494
-7727,-6235,9536
-11932,-5243,13018
-16339,-199,13911
