X,y,Z
-2523,3402,3212
-4025,-2993,3972
-1971,2064,2099
-3135,-3105,2786
-2687,2880,2849
-2839,-1270,2662
-3177,2363,2224
-2068,-2584,2233
-3625,2257,3155
-1955,-759,1885
-2915,1953,2121
-2906,-3442,3062
-2631,2408,2475
-3665,-2896,3704
-2481,4423,1914
-3211,-3148,3283
-2736,4752,2176
-2811,-2216,2964
-3252,2974,2647
-2102,-1056,2101
-3490,3369,2855
-2497,20 21,78
-3372,-537,3090
-2676,430 1,771
-2321,1691,2786
-3567,4182,3462
-1764,-2463,2368
-3978,946 3,550
-2700,-4180,3401
-3157,2401,2966
-3095,218 3,233
-1661,1453,1578
-4151,-2001,4197
-2325,1135,2404
-3133,-3168,3138
-2870,4384,2336
-3122,-1140,3573
-2975,3078,3262
-2607,-3576,2429
-2646,3660,2919
-3284,-2968,3947
-2381,3316,1727
-3296,-3871,3683
-2600,1724,2202
-3402,-1157,3920
-2418,1858,1957
-2343,-628,2723
-3794,433 3,334
-2395,-1443,2480
-3541,995 3,253
-2598,-1817,2855
-4121,669 4,194
-3088,-261,2607
-1610,519 1,703
-3969,130 3,765
-2519,-122,2741
-2753,94 28,16
-2921,1282,1760
-2586,1571,2853
-3869,-832,2999
-1436,491 1,769
-3499,-435,2910
-3048,2573,3762
-2581,-2647,2588
-3455,1752,3079
-2792,-2025,3121
-3845,1474,3582
-1870,-1592,2140
-2985,1641,2559
-3510,-1720,3594
-2234,2517,1978
-3628,-3547,3163
-2142,2257,2259
-4214,-3291,4825
-2186,2335,2297
-2397,-3134,2955
-3897,3812,3614
-1956,-1636,1650
-3436,2619,2803
-2180,-2655,1786
-2843,-994,3656
-3325,167 3,330
-1950,-1821,2750
-4078,872 4,332
-2505,-520,2748
-3209,461 3,175
-2902,-475,2963
-2701,-306,3037
-3312,-1036,3566
-2063,700 2,462
-2990,-696,2765
-2797,-325,2726
-2837,-399,2361
-3450,-814,3002
-2098,2022,1426
-3774,1207,3573
-2466,-583,2725
-2874,-1130,3583
-3798,-573,3365
-2023,2025,1987
-4193,-594,3968
-2107,1106,1802
-3468,-2038,2676
-2991,1807,2385
-2397,-2983,3106
-3848,4379,3166
-2179,-2728,1676
-3945,2022,3813
-2286,-1418,1833
-3069,780 2,904
-3326,1438,2472
-2008,-409,2109
-3188,934 2,605
-2525,-420,2563
-3008,-1455,3181
-3011,1179,2622
-2352,-842,2467
-4160,617 4,83
-2192,655 2,544
-3355,-62 3,84
-3011,190 2,927
-2100,767 1,970
-4125,-1525,3953
-2138,2096,1909
-3800,-1499,3222
-2400,620 2,493
-3063,671 2,649
-3619,-760,3665
-2038,3006,1065
-2958,-21 3,90
-2676,1178,1971
-2848,-932,2885
-3493,-1441,2954
-2438,-550,2659
-3574,2466,3545
-2188,-1148,2463
-2918,2587,2661
-3408,-1650,2690
-2146,1724,2386
-3809,-259,2622
-1801,128 2,414
-4288,1041,3854
-2122,-869,2101
-2766,1078,1965
-3692,113 3,562
-2619,437 3,116
-3486,-961,3169
-2124,160 2,956
-3790,-1624,4338
-2719,1610,2592
-2004,-1221,1691
-3364,12 32,41
-2924,-1020,3000
-2746,97 26,70
-2552,-320,2431
-2430,585 3,315
-3659,-1517,4043
-1764,-409,1912
-3626,-570,3697
-2575,388 3,479
-3202,-295,3294
-2869,-1679,2334
-2439,338 2,641
-3970,720 3,606
-1410,146 1,545
-3120,967 2,810
-3223,-756,3264
-3029,-1322,3039
-2858,1470,2311
-2613,-2249,2423
-3347,2191,3604
-2572,-667,2062
-2461,331 2,915
-3269,1 343,5
-2768,-2426,3060
-3230,2486,2570
-2273,-1469,2050
-3382,1354,2522
-2904,566 2,98
-2443,-1373,2999
-3598,936 3,969
-2867,-1159,3019
-3360,149 3,512
-2724,186 2,305
-2455,1437,2563
-4014,1727,3484
-1493,-197,1612
-3420,-1111,3213
-3007,-5 30,7
-3018,-115,3377
-3357,587 2,889
-2118,1304,2152
-4022,621 3,318
-2291,424 2,536
-3118,-1462,3118
-3423,1080,2874
-2070,-172,2694
-3767,2532,3408
-2043,-1910,2067
-3710,1338,3360
-2691,-1501,3017
-3057,1326,2629
-3238,1643,2877
-2294,353 2,213
-3377,-722,3321
-2685,-1815,2649
-3113,-231,2843
-3070,1437,2727
-2312,693 2,621
-3659,238 4,11
-3032,-2267,2774
-2468,1140,2213
-3568,1325,2668
-1768,-199,2646
-3952,945 2,991
-1754,-2289,1772
-3833,-922,4154
-2959,474 2,777
-2324,908 2,299
-3517,9 356,2
-2794,-1128,3585
-3742,-761,3422
-2340,205 2,441
-2534,-621,3670
-3422,1282,3906
-2514,-1281,2146
-3069,-1101,2946
-2729,93 24,88
-2725,1140,2741
-3410,-1885,2918
-1543,585 1,740
-4495,-3587,4426
-1998,2494,2143
-3150,-1958,3331
-2654,2819,2485
-2593,-1798,3213
-3707,-1117,2936
-1715,-1213,1708
-3477,3920,3085
-2033,1584,1879
-2997,-737,2583
-2876,-808,2962
-2806,-3090,2411
-3530,3980,3132
-1908,-742,2119
-2839,536 2,698
-3263,-1703,2848
-2491,-1107,2625
-3463,-320,3048
-2423,1375,2415
-3993,-1689,4468
-2291,427 2,514
-2748,-2964,2822
-3627,3055,3532
-1987,-1066,1888
-2897,2879,2193
-2747,-1916,2583
-3209,-272,3071
-2717,-2059,2152
-2026,1452,1975
-3654,1127,3959
-3250,-1980,3752
-2510,2177,2514
-3298,-2867,3081
-2736,2807,4221
-3806,-615,4435
-2072,515 1,792
-2846,1626,2369
-3645,-1400,3868
-2060,597 1,440
-3873,-265,2485
-1544,2371,1568
-4734,908 4,231
-2003,-177,2262
-3036,-461,3086
-3884,-69 4,133
-2172,1494,2736
-3818,-1434,3108
-1907,940 1,390
-3643,-524,3141
-2355,1451,2153
-2250,-1180,2143
-2768,1714,2507
-2953,-1180,3263
-3196,-394,3472
-2943,-2084,2001
-2544,2349,2569
-3759,322 3,374
-2550,-448,3269
-3301,-919,2630
-2508,-2112,2949
-3059,778 2,740
-3406,-1281,3343
-2109,1388,1899
-3933,-1303,3118
-1795,-1812,2864
-3776,637 3,226
-2384,-1201,2441
-2571,2143,2213
-3102,-2043,3357
-2505,-174,2299
-3278,-1690,3136
-2772,1268,2852
-3421,-2952,3985
-2963,2878,3206
-2860,-3635,3120
-3024,2455,3469
-3127,-3384,3197
-2831,1127,2974
-2909,-1454,2681
-2835,-240,3711
-3368,-662,2933
-2536,-976,3176
-3141,-386,2724
-3073,643 3,570
-3238,-1343,3799
-3126,11 31,76
-2196,-2347,2692
-3558,582 4,91
-2741,-3370,3173
-2108,2178,2229
-3710,-2340,2990
-2020,1889,3032
-4242,-4381,3874
-1742,2080,1817
-3623,-1321,3789
-2883,1087,3847
-2251,-54 1,757
-3569,-1527,3577
-2240,640 2,580
-3710,-1225,3183
-2084,1305,1634
-3049,11 30,15
-3317,-1260,3256
-2461,1128,2118
-3232,-2291,3198
-2707,3022,2288
-3420,465 3,593
-3021,182 2,846
-2240,-1822,2831
-4068,1305,3664
-2062,-2646,2144
-3080,2330,2070
-2813,-1035,2601
-3132,733 2,959
-3103,-1299,2216
-1576,771 1,661
-4160,1460,4141
-2318,-737,2527
-2897,-1179,2028
-2874,1399,2748
-3157,-347,3277
-3481,-1163,3398
-1828,1843,2062
-3997,-3318,3863
-2788,3387,3203
-2551,-1656,2064
-2697,2285,2195
-2761,548 1,714
-3505,-1035,3305
-1877,-1009,1643
-3415,-1430,3529
-3181,1268,3272
-2353,917 2,871
-3136,-88 2,885
-3148,-870,2732
-3133,-336,2854
-3055,-769,2742
-2330,1066,2582
-3682,747 3,472
-2267,-1528,2580
-2922,295 2,894
-2940,-710,2516
-2686,1637,2833
-3532,-364,3430
-2476,-1926,2835
-3838,137 3,435
-2505,-987,3270
-2642,1650,2694
-3401,-1126,2848
-1967,1154,2022
-3910,-1210,3507
-1961,1287,1828
-3607,-830,4005
-2751,-568,2538
-2384,-1047,2971
-3879,1443,3314
-2129,325 2,336
-3328,2417,2097
-2945,-2118,3346
-3159,642 2,919
-2819,-1846,3234
-2824,-402,2987
-3052,2184,3295
-2998,-2826,2887
-2762,2883,1898
-3322,-4490,2806
-2304,2373,2203
-3144,-1007,2735
-1727,3491,1406
-3171,-1758,3129
-3248,-120,2880
-2507,-3551,2267
-3965,2452,3325
-1844,92 27,15
-4406,743 4,254
-1853,-1269,1981
-3212,-1264,3049
-3478,-99 3,643
-1650,2750,1030
-3751,-807,3293
-1602,3655,1217
-3860,-4946,3378
-2486,703 1,815
-2722,-1163,2497
-3527,4745,3179
-2448,-153,2347
-3496,-1076,3146
-3171,-1141,3743
-3238,33 33,58
-3179,1406,3130
-1967,443 1,687
-3374,2651,3193
-2945,-1742,2443
-2450,174 2,180
-3439,-1814,2998
-2392,1098,2836
-3901,-283,3662
-1779,-282,1576
-3502,-1717,3604
-3513,1379,3308
-1874,-2864,2441
-3775,1516,3146
-2162,-1924,2468
-3796,1008,4015
-2477,-1371,2354
-2174,-96 2,558
-3699,1315,2624
-2156,-1048,2847
-3420,1309,2680
-2753,605 2,372
-3482,87 37,21
-3108,-1772,3576
-2706,-491,2814
-3449,2351,2694
-2362,306 3,221
-3017,2720,2488
-3017,-3492,3094
-2745,-272,2777
-3559,-3289,3677
-1724,2189,1550
-3698,667 3,616
-2521,435 2,652
-2647,991 1,944
-3642,-2941,2884
-2203,1490,2137
-3964,-3432,4530
-2193,4692,2337
-3354,-3286,3668
-3094,1876,2596
-2879,-3665,2369
-3587,2828,2816
-2063,-1476,1501
-3190,3439,2733
-2246,-2591,1882
-2836,706 3,470
-3412,-2641,3348
-2224,1406,2656
-3879,-994,3754
-2734,-64 2,949
-2961,-1352,3021
-2960,1477,
-3318,638 3,993
-3186,246 3,737
-2809,185 2,503
-2867,2382,2323
-2712,-1358,3112
-4284,670 4,382
-2137,880 1,835
-3137,-2825,3702
-2899,3557,2863
-3261,-2848,3648
-2503,4498,1291
-2305,-5148,2678
-3775,5563,3265
-2972,-3547,3978
-1940,4192,2120
-3624,-5467,3482
-2755,2238,2580
-3156,-1309,2844
-1871,3593,1775
-3347,354 3,379
-3616,-1063,3539
-1847,-2447,2163
-3316,-315,2999
-2449,216 2,782
-2978,2758,2210
-2745,-1075,3016
-2712,-372,3463
-3995,-2905,4185
-2295,-233,2321
-3361,666 2,928
-2199,23 30,35
-2900,2634,2214
-3411,-3937,3451
-2228,1758,1928
-3492,-5370,4209
-2388,4253,2546
-3443,-5187,3573
-2649,6493,2747
-2844,-2144,2971
-2764,3523,3105
-3215,-3824,2708
-3231,218 3,502
-3090,1028,2826
-2274,717 2,528
-3439,3541,3531
-2834,-3271,3079
-3106,682 2,616
-2545,-1728,1983
-2606,1748,3038
-3630,1348,3614
-2310,1413,2033
-3110,-952,3260
-2551,-334,2852
-3524,-936,3631
-2927,3671,1602
-2793,-2162,3155
-3515,3235,3236
-3280,-3504,3641
-2934,4719,2457
-2699,-4324,2507
-2707,4960,2187
-3500,-3406,3185
-2414,3220,1916
-3119,-1458,2649
-2749,1828,2336
-3118,-847,2957
-3254,-1517,3237
-2057,1187,1713
-3307,341 3,69
-2955,1266,3565
-2768,342 2,477
-3089,-2031,2958
-2833,838 2,423
-3627,-1187,3742
-2113,3103,1492
-3130,-3648,2793
-3016,2957,3011
-3081,-2982,3399
-2772,2539,2107
-2205,-1505,2139
-3960,320 3,835
-2615,-385,1912
-2903,-2961,2802
-2522,4498,2417
-3448,-3232,3425
-3086,3754,2528
-2402,-3554,2021
-3310,900 2,994
-3406,-1541,3241
-2765,1349,2803
-2675,3231,2383
-3050,-2701,3325
-3263,746 3,306
-2794,-1592,2194
-2469,2614,2149
-3742,-1120,3159
-2312,799 2,676
-3101,361 2,692
-2231,-2159,2510
-3380,1071,3385
-3428,-2174,3647
-2373,3845,2283
-3121,-516,3150
-2416,215 2,712
-3691,-2316,3900
-2797,-349,2936
-2551,740 2,747
-3142,1130,2786
-2896,635 3,301
-3222,-1482,3360
-2248,-121,2218
-2927,-1041,2719
-2913,2878,2959
-2613,-557,2691
-2525,1856,2327
-3258,-2232,3011
-3050,609 3,382
-3486,655 2,663
-2200,778 2,269
-3456,6 356,3
-3185,-645,3976
-2853,950 2,494
-2756,-413,2528
-2898,394 3,87
-3372,-449,2583
-1792,-187,1321
-3121,321 2,908
-2847,351 3,199
-3135,1017,2749
-2649,-1134,1903
-3009,-922,2999
-3774,1187,3304
-2685,-19 2,543
-2877,1742,2477
-2648,-616,3156
-3522,-123,3340
-3211,-1165,3221
-2657,1408,2288
-3650,-862,3532
-2395,3954,1851
-3242,-2994,3033
-2613,3112,2103
-2894,-3911,2884
-3057,2666,2437
-2369,-3246,2742
-3000,2984,2653
-3162,-2071,3355
-2621,2091,2638
-2777,-2159,2692
-2754,815 2,139
-3274,-654,3527
-2496,1189,1865
-2539,728 2,48
-3455,-1849,3056
-2642,-1367,2397
-3302,1001,2796
-2511,3319,1616
-2948,-90 2,938
-3019,2597,2766
-3339,-3737,3378
-3246,1954,2872
-2304,-1706,2721
-3215,4018,2940
-2992,-1829,3239
-2433,1668,1644
-3333,-3196,2886
-2885,3499,2146
-3126,-2803,3259
-2575,3282,1674
-3306,-3714,2917
-2897,2521,2587
-3220,-3285,3856
-2785,4718,2379
-3006,-3632,3012
-3068,4498,2494
-3136,-4852,3443
-1927,4060,1601
-3235,-3428,3446
-2768,847 2,815
-2750,273 2,274
-2540,665 2,565
-2814,-171,3253
-3678,-1570,3415
-1905,583 1,607
-3039,-1851,2811
-3315,2082,4041
-3087,-587,3573
-2852,2345,2964
-2559,-2730,2918
-4009,721 3,418
-2268,-1299,1789
-2910,2362,2695
-2559,809 2,691
-3072,-1157,2812
-3316,-2649,3002
-2740,-602,2934
-2868,1344,3056
-2874,1316,2504
-2684,-59 2,904
-3138,-318,3331
-2727,-2228,2968
-2579,493 3,226
-2941,136 3,214
-3109,88 36,37
-3144,308 2,966
-2264,-313,2141
-3176,1924,3385
-3075,-601,2837
-2871,265 2,697
-2402,2014,2256
-3020,911 2,977
-3224,1735,2882
-2561,-3236,3149
-3089,954 3,707
-3291,-299,3508
-3140,2251,3714
-2384,2352,2461
-2931,-1696,2579
-3252,-631,3381
-3056,-3325,2917
-2325,4105,2502
-2935,19 28,43
-3306,368 3,735
-2884,-1142,2814
-2850,-1321,2651
-2836,2060,2915
-3033,1436,2904
-2623,1867,2778
-2565,-1092,1908
-2532,-3415,3190
-3823,-337,3853
-2440,748 2,809
-2218,3165,1834
-3303,-393,3251
-3313,-904,3282
-3554,-2751,3417
-1963,3063,2239
-3293,-404,4113
-3111,2412,2899
-3013,-2450,2625
-2800,-249,2507
-2473,237 1,604
-3593,-141,3606
-2711,177 2,904
-2698,-3663,3220
-3230,1717,3454
-2967,-2166,3372
-3302,3292,3240
-1887,-2505,1480
-3356,-1340,3041
-3438,-2900,4082
-2056,1894,1908
-3203,-1573,3924
-2408,1032,2917
-3995,-2465,4294
-2464,3864,1666
-2838,-3314,2884
-3016,827 3,276
-3172,-173,2935
-2690,222 2,877
-2781,-441,2756
-2797,-279,2538
-3518,-1271,3330
-2237,871 1,643
-2930,-829,2917
-3114,369 3,366
-2807,-520,3538
-2913,-51 2,814
-2290,178 1,799
-3291,-876,2938
-2547,357 2,294
-2566,1926,2145
-3013,-84 2,808
-2907,-2276,3355
-3298,-311,2929
-2710,-327,2857
-3002,5007,2302
-3262,-2246,3455
-2761,1559,1702
-3246,-4666,2971
-2409,3314,2259
-3158,-1305,3732
-2109,4418,2068
-2637,-2948,2733
-3729,-1432,3470
-3040,-1235,3296
-2909,-160,2841
-2545,4611,2541
-3172,-2742,3016
-3066,25 28,28
-2425,-2805,2022
-3269,512 3,79
-2777,1723,2289
-2690,1133,2435
-3063,-793,2841
-2516,-1589,2609
-3260,479 2,527
-2061,1089,2539
-3463,241 4,481
-2915,1182,3516
-3065,-2620,2863
-3505,238 4,13
-2678,923 3,64
-3383,4129,3064
-2324,-1171,2064
-3047,-167,2613
-3096,262 3,614
-3128,600 2,870
-2386,-577,2575
-2944,2205,2636
-2584,-210,2697
-2838,-153,3278
-2981,-2405,2939
-2978,403 3,439
-3124,397 3,589
-2674,1005,2814
-3119,17 34,2
-2821,-1157,3244
-3456,-1522,3701
-2291,46 24,79
-2854,609 2,722
-2582,2656,2060
-3381,-2739,3357
-2637,1880,1993
-2579,-2193,2984
-3431,989 3,613
-2888,-166,3297
-3039,-675,2900
-2557,291 2,331
-3374,-1611,3124
-3093,1906,3062
-1873,-689,2271
-3071,-1193,3253
-3085,-3604,3650
-3262,208 3,225
-2762,-54 2,727
-2369,4312,1921
-3727,-1149,3765
-2890,957 2,619
-2535,-5207,2475
-3110,744 2,871
-2950,-1556,3857
-2976,4814,2313
-2349,-2568,2270
-3135,505 2,901
-3590,-2950,3814
-2627,184 2,328
-2633,1637,2175
-2357,1071,2919
-3808,1733,3327
-2670,-2370,2653
-2663,-1015,3016
-3309,-924,3354
-2851,1908,2467
-2937,-210,2597
-2272,2017,1916
-3504,-4876,3281
-3018,88 27,36
-2852,-2821,2821
-3057,2773,2783
-3027,-1169,3178
-2754,1451,2382
-2648,-839,2226
-2922,-1013,3106
-3030,11 23,88
-2764,-566,3045
-2927,2331,3080
-3323,-2797,3985
-2580,2874,2828
-2973,-1985,2923
-2707,1578,2755
-3015,200 2,878
-3008,-255,3414
-2560,-822,2653
-3324,-611,3160
-2549,2154,2295
-2671,637 2,278
-2489,-188,2354
-3236,-411,2585
-3162,56 28,80
-2528,-60 2,481
-3003,330 3,513
-2892,1059,3668
-3457,-25 3,70
-2529,826 1,975
-2535,44 31,43
-3451,1597,3258
-2798,-1990,2654
-2867,-424,2557
-2673,-284,2219
-3210,1752,2934
-2542,1444,2064
-2683,-1541,2674
-3128,-549,3025
-3582,-4942,4167
-2587,3424,2064
-2864,-639,2558
-2845,2343,2179
-3010,-1980,2915
-2634,183 2,192
-2903,-2950,2849
-3388,1077,3506
-2708,1122,3093
-3193,315 2,666
-2109,2159,2129
-3716,-3641,3477
-2436,2139,2620
-2610,-2602,2296
-3033,1748,2848
-2627,309 2,425
-3225,1636,2421
-2323,1045,1811
-3129,-1434,2547
-2512,1077,1710
-3376,697 3,201
-2697,1635,3282
-3199,71 33,65
-3143,1313,2788
-3574,-502,3445
-2374,702 2,46
-3033,2183,2364
-2960,359 2,562
-3214,-824,3568
-2384,-204,2052
-2794,-525,2711
-3601,3008,3331
-2409,-521,2754
-2899,3248,2199
-2710,-3678,3031
-3371,1096,3261
-3018,1 234,5
-2386,2653,2078
-3022,864 2,569
-2991,-1193,3294
-3257,303 2,259
-2260,-1942,2415
-3091,2769,3476
-3410,-1170,3272
-2751,2893,2151
-2499,-1452,2382
-3354,600 3,419
-3177,-436,3275
-2603,748 2,22
-2435,909 2,560
-3405,-966,3334
-3023,113 2,597
-2633,-1164,2596
-3253,1377,2996
-2629,489 2,497
-2817,615 2,775
-2976,-921,2671
-3016,-877,2880
-2970,827 2,379
-2510,211 2,308
-3452,586 3,415
-2559,-166,2726
-3324,-1302,3103
-2754,-113,3200
